Date,Open,High,Low,Close,Adj Close,Volume
2022-03-01,17657.5,17944.5,17657.5,17898.25,17898.25,4576900
2022-03-02,17864.109375,17918.980469,17784.640625,17867.599609,17867.599609,4013600
2022-03-03,17932.150391,18026.029297,17906.240234,17934.400391,17934.400391,4006800
2022-03-04,17845.009766,17845.009766,17710.539063,17736.519531,17736.519531,4422400
2022-03-07,17581.570313,17581.570313,17135.679688,17178.689453,17178.689453,5833800
2022-03-08,17000,17113.669922,16764.779297,16825.25,16825.25,5875900
2022-03-09,16944.080078,17072.740234,16944.080078,17015.359375,17015.359375,3963600
2022-03-10,17224.730469,17478.429688,17224.730469,17433.199219,17433.199219,4493300
2022-03-11,17373.820313,17373.900391,17239.900391,17264.740234,17264.740234,3114900
2022-03-14,17287.900391,17363.039063,17217.580078,17263.039063,17263.039063,3432300
2022-03-15,17177.269531,17177.269531,16911.949219,16926.060547,16926.060547,4138100
2022-03-16,17007.580078,17085.769531,16808.429688,16940.830078,16940.830078,4846600
2022-03-17,17172.810547,17472.949219,17172.810547,17448.220703,17448.220703,5028900
2022-03-18,17439.910156,17472.380859,17359.5,17456.519531,17456.519531,4984000
2022-03-21,17503.949219,17603.990234,17503.949219,17560.359375,17560.359375,3703600
2022-03-22,17512.410156,17573.289063,17468.550781,17559.710938,17559.710938,3448800
2022-03-23,17581.619141,17738.689453,17581.619141,17731.369141,17731.369141,3950500
2022-03-24,17711.169922,17711.169922,17603.220703,17699.060547,17699.060547,3883600
2022-03-25,17695.800781,17747.130859,17633.859375,17676.949219,17676.949219,3872300
2022-03-28,17510.150391,17527.150391,17368.660156,17520.009766,17520.009766,3202100
2022-03-29,17568.320313,17585.910156,17493.009766,17548.660156,17548.660156,3429900
2022-03-30,17572.900391,17770.070313,17572.900391,17740.560547,17740.560547,3739000
2022-03-31,17754.099609,17767.810547,17682.529297,17693.470703,17693.470703,3422500
2022-04-01,17657.759766,17657.759766,17465.609375,17625.589844,17625.589844,3396600
2022-04-06,17484.189453,17528.990234,17381.070313,17522.5,17522.5,4241200
2022-04-07,17430.130859,17438.599609,17178.630859,17178.630859,17178.630859,4863100
2022-04-08,17210.400391,17316.689453,17210.400391,17284.539063,17284.539063,3538700
2022-04-11,17273.050781,17316.349609,17046.669922,17048.369141,17048.369141,4584600
2022-04-12,17005.839844,17100.849609,16905.130859,16990.910156,16990.910156,4100800
2022-04-13,17080.400391,17333.210938,17080.400391,17301.650391,17301.650391,4058700
2022-04-14,17353.25,17374.140625,17245.650391,17245.650391,17245.650391,4429600
2022-04-15,17139.339844,17141.330078,17004.179688,17004.179688,17004.179688,4078400
2022-04-18,16958.660156,16999.359375,16845.509766,16898.869141,16898.869141,4020900
2022-04-19,16926.339844,17106.259766,16926.339844,16993.400391,16993.400391,3514900
2022-04-20,17057.130859,17148.880859,16983.550781,17148.880859,17148.880859,4801300
2022-04-21,17159.880859,17213.660156,17106.369141,17127.949219,17127.949219,3952000
2022-04-22,17088.759766,17088.759766,16923.869141,17025.089844,17025.089844,4322500
2022-04-25,16912.300781,16912.300781,16579.890625,16620.900391,16620.900391,4528800
2022-04-26,16677.839844,16729.470703,16582.109375,16644.789063,16644.789063,3941900
2022-04-27,16427.320313,16427.320313,16219.410156,16303.349609,16303.349609,4261400
2022-04-28,16350.719727,16455.570313,16256.879883,16419.380859,16419.380859,3635500
2022-04-29,16599.839844,16663.660156,16521.939453,16592.179688,16592.179688,3416300
2022-05-03,16593.210938,16604.869141,16465.990234,16498.900391,16498.900391,2457700
2022-05-04,16531.369141,16617.060547,16514.300781,16565.830078,16565.830078,2630000
2022-05-05,16689.980469,16783.779297,16650.810547,16696.119141,16696.119141,3215900
2022-05-06,16491.109375,16491.109375,16312.169922,16408.199219,16408.199219,3186200
2022-05-09,16345.839844,16345.839844,16048.919922,16048.919922,16048.919922,3742000
2022-05-10,15891.400391,16071.5,15734.44043,16061.700195,16061.700195,3489400
2022-05-11,16053.75,16081.150391,15953.269531,16006.25,16006.25,2938300
2022-05-12,15943.620117,15943.620117,15616.679688,15616.679688,15616.679688,4040900
2022-05-13,15687.150391,15860.69043,15687.150391,15832.540039,15832.540039,3216400
2022-05-16,15943.69043,16032.849609,15847.459961,15901.040039,15901.040039,3298100
2022-05-17,15915.929688,16085.849609,15915.929688,16056.089844,16056.089844,2799500
2022-05-18,16174.780273,16316.580078,16172.799805,16296.860352,16296.860352,3405600
2022-05-19,16111.490234,16111.490234,15892.730469,16020.320313,16020.320313,3423100
2022-05-20,16061.919922,16181.660156,16058.200195,16144.849609,16144.849609,2836000
2022-05-23,16193.919922,16249.450195,16125.450195,16156.410156,16156.410156,3295600
2022-05-24,16166.570313,16219.799805,15963.629883,15963.629883,15963.629883,2961400
2022-05-25,15987.740234,16169.179688,15980.900391,16104.030273,16104.030273,3107300
2022-05-26,16128.209961,16179.009766,15949.610352,15968.830078,15968.830078,3062100
2022-05-27,16075.910156,16266.219727,16075.910156,16266.219727,16266.219727,2951400
2022-05-30,16368.929688,16610.619141,16368.929688,16610.619141,16610.619141,3342400
2022-05-31,16561.679688,16807.769531,16493.070313,16807.769531,16807.769531,5523600
2022-06-01,16718.910156,16811.039063,16649.910156,16675.089844,16675.089844,3097600
2022-06-02,16605.460938,16617.259766,16540.550781,16552.570313,16552.570313,2638200
2022-06-06,16570.890625,16654.119141,16509.009766,16605.960938,16605.960938,2873700
2022-06-07,16593.75,16593.75,16465.869141,16512.880859,16512.880859,2437900
